words,اصل,مبيع,ارتفع,يشغل,عرب,مماثل,احق,انشاء,محاسب,توزيع,جديد,ضرور,جدة,خصوص,مال,ربع,احد,نصاب,سعود,لاعضاء,نتايج,مركز,متطلبا,رقم,سنو,بان,ادار,تعديل,حاضر,اخر,مذكور,مسا,ساد,والخمس,وذل,موافق,سهم,منته,اعمال,رابع,دور,فتر,مرفق,يتعذر,جاهز,اجمال,اسمن,نصف,سبب,انخفاض,وفق,تكلف,اول,موحد,سوف,سوق,تاريخ,طريق,ساع,بنوك,شرك,ارباح,عمل,توص,سيد,علاو,قطران,مليون,اخري,يصبح,تنفيذ,باستخدام,اعل,تود,خسار,بلغ,تمويل,اجتماع,خطاب,اعلان,نايب,ارد,مقارن,معايير,مجا,انتهاء,ملك,اسمنت,يعود,اجراءا,واقع,انعقاد,مراجع,زياد,قرار,تشغيل,مصنع,تحديد,حضور,سيك,مساهم,ارتفاع,قدر,استاذ,لكل,اقل,لانخفاض,اعضاء,مصطحب,تعل,لعام,نظام,طلب,لجن,بند,مجلس,مبلغ,رييس,اضاف,اسم,قايم,COVID,تدعو,مهام,عضو,السن,احتراز,جمع,وانخفاض,ابراء,حساب,شخص,قيم,لارتفاع,تابع,نقد,لانعقاد,مكان,مرتبط,عزيز,ربح,واصدار,عام,نامل,بنك,والتكاليف,ضريب,مرشح,دايم,ماد,اثن,تاثير,صاف,عاد,جراء,تصويت,حال,class
1564898018,0,8,0,0,1,4,0,0,0,0,0,0,0,0,4,8,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,5,1,0,6,7,0,3,2,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,1,0,5,5,1,0,0,0,0,6,0,0,0,1,2,0,2,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,1,8,0,0,0,3,1
1556108548,0,6,0,0,1,3,0,0,0,0,0,0,0,0,4,7,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,4,4,0,2,2,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,3,4,1,0,0,0,1,4,0,0,0,1,3,0,1,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,2,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,2,1
1555390821,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1554700644,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1554699766,4,0,0,2,2,0,2,4,0,2,0,0,2,0,28,4,1,2,4,2,3,6,0,4,4,4,31,12,2,0,0,0,0,0,6,33,2,11,3,0,0,0,0,0,4,2,4,2,0,0,2,0,5,0,0,0,5,4,3,0,45,8,0,2,0,0,2,0,0,0,6,0,0,0,0,2,0,9,0,1,2,2,0,0,0,0,2,2,0,0,4,3,10,0,0,0,0,2,2,2,10,0,2,10,4,0,0,4,4,1,4,12,0,8,1,33,6,8,0,0,0,0,0,0,22,9,0,6,0,2,8,2,2,0,2,4,1,1,0,3,0,0,13,0,12,0,0,0,0,12,0,0,0,2,0,1,2,0
1554613688,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,2,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
1554268337,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
1552565616,1,0,0,2,3,0,4,4,0,4,0,0,2,0,29,5,0,2,2,2,0,6,0,0,4,5,16,12,1,1,0,1,0,0,4,2,2,11,4,1,0,0,14,0,4,2,6,3,0,0,2,0,5,0,0,0,7,2,3,1,48,6,0,4,0,0,2,0,0,0,6,0,2,0,0,2,0,12,0,1,0,2,0,0,0,2,2,1,0,0,4,9,8,0,0,0,0,4,5,1,21,0,2,2,5,3,0,2,0,0,4,12,0,5,1,14,6,1,1,0,0,0,1,0,9,9,0,19,0,2,5,4,2,0,2,4,2,1,0,3,0,0,17,2,1,0,0,2,0,12,0,0,0,4,0,32,2,0
1551589904,0,0,0,0,2,0,2,0,0,6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1551589845,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,2,5,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0
1542629952,0,0,0,0,1,0,0,2,0,0,1,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541484149,0,0,0,0,2,2,0,0,0,0,0,0,0,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1541480461,0,7,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,5,1,0,6,15,0,1,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,3,0,0,0,0,2,6,0,0,0,1,1,0,2,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
1533101500,0,5,0,0,1,11,0,0,0,0,0,0,0,0,1,14,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,1,0,0,0,13,0,0,0,6,0,0,6,12,0,0,1,5,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,13,5,0,0,0,0,0,0,6,0,0,0,0,4,6,0,0,0,4,0,0,2,0,0,0,0,1,3,3,0,0,1,3,0,0,1,0,0,3,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0
1530188043,0,0,0,0,2,0,0,5,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1524546016,0,2,0,0,1,5,0,0,0,1,0,0,0,0,9,15,0,0,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,2,0,1,0,3,0,0,0,4,0,0,4,11,0,0,3,1,0,0,0,0,0,0,6,2,0,0,0,0,0,2,2,0,0,0,0,0,8,3,2,0,0,0,0,0,3,0,0,0,2,2,4,0,6,0,0,1,0,1,0,0,0,0,1,6,3,0,0,1,2,0,0,1,0,0,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,7,0,8,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0
